Speed,Throttle,Brake,RPM,nGear,DRS,Distance
141.0,49.0,False,8637.0,4,1,1921.12
143.9035721142857,50.935714742857144,False,8947.682216228572,4,1,1931.958615750488
144.0,51.0,False,8958.0,4,1,1932.32
145.83888924444443,66.63055857777778,False,9286.241730133333,4,1,1945.7138164046469
146.0,68.0,False,9315.0,4,1,1946.9199999999998
150.2750016,74.17500231111111,False,9464.625056,4,1,1954.1787743768298
155.0,81.0,False,9630.0,4,1,1962.4199999999998
156.95000137142858,81.32500022857143,False,9725.875067428571,4,1,1966.4398186074745
161.0,82.0,False,9925.0,4,1,1974.9422222222222
166.0,21.0,True,9804.0,4,1,1982.3199999999997
164.7249984,16.91999488,True,10161.000448,4,1,1984.6370694766833
161.0,5.0,True,11204.0,4,1,1991.2644444444443
160.33571291428572,4.667856457142857,True,11189.053540571429,4,1,1992.618838599306
156.88571428571427,2.9428571428571426,True,11111.42857142857,4,1,1999.5363628105843
155.0,2.0,True,11069.0,3,1,2003.32
155.0,2.0,True,10509.0,3,1,2010.2088888888886
151.20833066666665,2.0,True,10236.758141866667,3,1,2013.9640029952202
145.0,2.0,True,9791.0,3,1,2019.8755555555554
137.25714102857143,2.0,True,9207.382005028572,3,1,2030.201068664524
137.0,2.0,True,9188.0,3,1,2030.531111111111
125.26999808,2.0,True,8542.8498944,3,1,2044.1173139218663
125.0,2.0,True,8528.0,3,1,2044.4199999999998
119.0,5.0,False,8391.0,3,1,2053.6755555555555
117.97999872,7.5500032,False,8355.2999552,3,1,2055.319387552022
115.0,15.0,False,8251.0,3,1,2060.0644444444442
114.8,15.0,False,8224.4,3,1,2061.0797858561637
114.0,15.0,False,8118.0,3,1,2065.131111111111
113.12083306666666,15.0,False,8103.933329066666,3,1,2071.761271709961
113.0,15.0,False,8102.0,3,1,2072.664444444444
111.91428571428571,15.542857142857143,False,8110.685714285714,3,1,2077.3603808186776
111.0,16.0,False,8118.0,3,1,2081.2977777777774
111.0,26.0,False,8048.0,3,1,2088.6977777777774
111.0,27.24000256,False,8064.89503488,3,1,2089.6519369499433
111.0,28.04000256,False,8075.79503488,3,1,2090.2671733407333
111.0,34.0,False,8157.0,3,1,2094.8644444444444
112.1375008,35.7062512,False,8282.125088,3,1,2097.7102479082173
113.0,37.0,False,8377.0,3,1,2099.8866666666663
115.0,48.0,False,8397.0,3,1,2104.9977777777776
116.1375008,49.7062512,False,8478.6156824,3,1,2107.9652062093382
118.6375008,53.4562512,False,8657.990682399999,3,1,2114.608768735753
119.0,54.0,False,8684.0,3,1,2115.5755555555556
121.0,61.0,False,9002.0,3,1,2122.297777777778
121.68889031111111,62.033335466666664,False,9071.405698844444,3,1,2123.365759912349
125.68889031111111,68.03333546666667,False,9474.405698844444,3,1,2129.7392286620943
129.0,73.0,False,9808.0,3,1,2135.197777777778
136.1714304,73.0,False,10186.2929536,3,1,2144.7233717851573
137.0,73.0,False,10230.0,3,1,2145.8533333333335
143.0,81.0,False,10312.0,3,1,2152.2088888888893
144.03333546666667,83.3250048,False,10456.666965333334,3,1,2153.4678459755078
151.0,99.0,False,11432.0,3,1,2162.275555555556
161.90833635555555,99.0,False,11877.316790044444,3,1,2172.959849069901
168.0,99.0,False,12126.0,3,1,2179.075555555556
169.5103749073195,99.0,False,11665.71324699439,3,1,2183.366328875687
172.0,99.0,False,10907.0,4,1,2190.5900000000006
183.9590021016489,99.0,False,11473.05943281138,4,1,2203.8104205464742
185.87244145823178,99.0,False,11563.628895689637,4,1,2206.009075695919
193.0,99.0,False,11901.0,4,1,2214.1252777777786
193.0,99.0,False,11698.25958144,4,1,2215.7992675532814
193.0,99.0,False,10593.0,4,1,2224.8475000000008
193.0,99.0,False,10821.2438816,4,1,2230.7539453792665
193.0,99.0,False,10922.0,5,1,2233.425277777779
207.22750336000001,99.0,False,11369.1501056,5,1,2249.320870403875
214.0,99.0,False,11582.0,5,1,2257.2030555555566
216.5875,99.0,False,11658.475,5,1,2262.859590047739
223.0,99.0,False,11848.0,5,1,2277.0252777777787
225.3785728,99.0,False,11429.767616,5,1,2284.0161337267887
229.0,99.0,False,10793.0,5,1,2294.83638888889
229.8,99.0,False,10812.266666666666,5,1,2296.919402688983
233.7750016,99.0,False,10907.9979552,5,1,2307.43302112886
241.0,99.0,False,11082.0,6,1,2326.969722222223
241.62000128,99.0,False,11090.5250176,6,1,2329.073420504753
244.42000128,99.0,False,11129.0250176,6,1,2338.5983458380547
245.0,99.0,False,11137.0,6,1,2340.5808333333343
248.0,99.0,False,11218.0,6,1,2357.114166666667
248.2906256,99.0,False,11251.6156944,6,1,2359.260204377162
250.7281256,99.0,False,11533.5531944,6,1,2377.3786151784316
251.0,99.0,False,11565.0,6,1,2379.4252777777783
257.0,99.0,False,11728.0,6,1,2393.703055555556
257.796876,99.0,False,11615.9592344,6,1,2397.3853145261496
260.3125,99.0,False,11262.2625,6,1,2409.107460849449
262.0,99.0,False,11025.0,6,1,2416.991944444445
263.0,99.0,False,10479.0,6,1,2428.6808333333333
264.02222222222224,99.0,False,10560.266666666666,6,1,2435.445920821357
267.0,99.0,False,10797.0,7,1,2455.380833333333
267.91071542857145,99.0,False,10819.585742628571,7,1,2459.2149150587506
271.5,99.0,False,10908.6,7,1,2474.417469781715
272.0,99.0,False,10921.0,7,1,2476.5363888888887
272.25277795555553,99.0,False,10943.750016,7,1,2483.4195785973698
273.0,99.0,False,11011.0,7,1,2503.836388888889
273.535712,99.0,False,11027.8213568,7,1,2506.135408120902
277.482144,99.0,False,11151.7393216,7,1,2523.2067518957538
278.0,99.0,False,11168.0,7,1,2525.458611111111
279.7906256,99.0,False,11211.5718896,7,1,2540.3438324284384
281.0,99.0,False,11241.0,7,1,2550.436388888889
281.7928576,99.0,False,11329.8000512,7,1,2559.139291146813
282.5071433142857,99.0,False,11409.8000512,7,1,2567.000854223183
283.0,99.0,False,11465.0,7,1,2572.4475
286.0,99.0,False,11419.0,7,1,2591.514166666667
286.7958336,99.0,False,11487.4416896,7,1,2606.7348795576804
287.0,99.0,False,11505.0,7,1,2610.6474999999996
288.06542117192197,99.0,False,11555.074795080332,7,1,2624.3332212331784
289.0,99.0,False,11599.0,7,1,2636.4166666666665
